#file			bjd						date
#-------	------------	----------
BRNCS2004	13287.000000	10/09/2004
j152.473	16099.816600	06/21/2012
j153.285	16110.783948	07/02/2012
j153.476	16111.767480	07/03/2012
j154.45		16133.763966	07/25/2012
j154.280	16134.757901	07/26/2012
j154.284	16134.768850	07/26/2012
j155.469	16140.765622	08/01/2012
j156.772	16147.751035	08/08/2012
j156.1172	16149.741060	08/10/2012
j156.1359	16150.959770	08/11/2012
j156.1562	16151.949082	08/12/2012
j156.1760	16152.949562	08/13/2012
j156.1961	16153.948757	08/14/2012
j157.89		16163.859826	08/24/2012
j157.272	16164.737129	08/25/2012
j158.271	16172.727373	09/02/2012
j158.476	16173.754622	09/03/2012
j158.668	16174.731677	09/04/2012
j158.884	16175.738846	09/05/2012
j158.1173	16177.728938	09/07/2012
j158.1272	16178.723481	09/08/2012
j158.1369	16179.721855	09/09/2012
j159.73		16192.717049	09/22/2012
j159.472	16194.716016	09/24/2012
j159.671	16195.712949	09/25/2012
j159.891	16196.716977	09/26/2012
j160.69		16202.720784	10/02/2012
j161.68		16207.703089	10/07/2012
j161.268	16208.700248	10/08/2012
j161.478	16209.706170	10/09/2012
